Pfam-Entry-PF08613.7	Cyclin
Pfam-PF12571.4	DUF3751
GO:0033559	unsaturated fatty acid metabolic process
SQDG-34-3	an SQDG(34:3)
Pfam-Entry-PF07217.7	Het-C
LIPID	a lipid
Methylated-MtmC-Proteins	a [methyl-Co(III) methylamine-specific corrinoid protein]
Pfam-Entry-PF00150.14	Cellulase
GO:0004517	nitric-oxide synthase activity
TAX-2061	Tsukamurella paurometabola
Pfam-PF10931.4	DUF2735
tRNA-Pseudouridines	a pseudouridine in tRNA
Histone-Acetyl-Lysine	a [histone]-N<sup>6</sup>-acetyl-L-lysine
GO:0009142	nucleoside triphosphate biosynthetic process
Pfam-Entry-PF11678.4	DUF3274
TAX-797515	Lactobacillus parafarraginis
Pfam-Entry-PF12500.4	TRSP
GO:0070613	regulation of protein processing
TAX-1175	Aphanizomenon
GO:0009179	purine ribonucleoside diphosphate metabolic process
TAX-4903	Cyberlindnera jadinii
Pfam-Entry-PF04104.10	DNA_primase_lrg
GO:0000496	base pairing
Pfam-PF09312.7	SurA_N
TAX-221065	Kordia
TAX-517437	Anaplasma marginale
TAX-452471	Candidatus Amoebophilus asiaticus
TAX-2132	Spiroplasma
Pfam-PF13338.2	AbiEi_4
Cis-2-enoyl-CoAs	a <i>cis</i>-2-enoyl-CoA
Pfam-Entry-PF07607.7	DUF1570
TAX-57481	Thermoanaerobacter mathranii
GO:0060537	muscle tissue development
TAX-1648043	Molinieae
Pfam-PF01187.14	MIF
GO:0004300	enoyl-CoA hydratase activity
TAX-216769	Buchnereae
GO:0033680	ATP-dependent DNA/RNA helicase activity
Pfam-PF04183.8	IucA_IucC
Pfam-Entry-PF02417.11	Chromate_transp
TAX-84023	Clostridium autoethanogenum
GO:0015802	basic amino acid transport
TAX-1003201	Rickettsia typhi
Pfam-PF04295.9	GD_AH_C
Pfam-PF07592.7	DDE_Tnp_ISAZ013
Phospho-MEK	a phosphorylated mitogen-activated protein kinase kinase
Pfam-PF11798.4	IMS_HHH
TAX-1269201	Salinarchaeum
Pfam-PF06013.8	WXG100
GlcA-n-6-O-sulfoGlcNS	heparan sulfate containing a glucuronate--<i>N</i>,6-<i>O</i>-disulfo-D-glucosamine disaccharide
Pfam-Entry-PF01304.13	Gas_vesicle_C
ADP-Sugar-Biosynthesis	ADP-sugar Biosynthesis
TAX-4022	Acer
TAX-1150591	Mycobacterium xenopi
TAX-7388	Hypoderma <fly>
Pfam-Entry-PF16277.1	DUF4926
TAX-1227459	Haloferax gibbonsii
Pfam-Entry-PF08378.7	NERD
TAX-13474	Cylindrocarpon
Pfam-PF08888.7	HopJ
PWY-6442	spermidine hydroxycinnamic acid conjugates biosynthesis
Pfam-PF05661.8	DUF808
TAX-186626	Otophysa
TAX-786	Rickettsia akari
TAX-1122921	Paenibacillus massiliensis
Pfam-Entry-PF06787.7	UPF0254
Lysophosphatidylcholines-18-1	lysophosphatidylcholine-18:1
TAX-1257042	Streptococcus mutans
GO:0043865	methionine transmembrane transporter activity
TAX-48385	Perilla <angiosperm>
Pfam-Entry-PF09351.6	DUF1993
Glyco-CT-Superclass-TRI	Triose
TAX-367189	Haladaptatus paucihalophilus
GO:0004307	ethanolaminephosphotransferase activity
Pfam-Entry-PF10786.5	G6PD_bact
Pfam-Entry-PF04978.8	DUF664
2-Lysophosphatidylcholines	a 1-acyl 2-lyso-phosphatidylcholine
TAX-135623	Vibrionales
GO:0001046	core promoter sequence-specific DNA binding
TAX-698951	Gardnerella vaginalis
tRNA-Containing-N2-Methylguanine-10	an <i>N</i><sup>2</sup>-methylguanine<sup>10</sup> in tRNA
Pfam-PF13167.2	GTP-bdg_N
Pfam-Entry-PF08360.7	TetR_C_5
GO:0009607	response to biotic stimulus
TAX-292691	Gramella
Calmodulin-N6-methyl-L-lysine-22	a [calmodulin]-L-lysine<sup>22</sup>
GO:0019319	hexose biosynthetic process
TAX-54736	Salmonella bongori
RNASE-G-DEGRADATION-SUBSTRATE-MRNA	RNase G degradation substrate mRNA
Pfam-Entry-PF06475.7	Glycolipid_bind
Pfam-Entry-PF15648.2	Tox-REase-5
Pfam-Entry-PF11300.4	DUF3102
TAX-133448	Citrobacter youngae
GO:0047831	D-ornithine 4,5-aminomutase activity
GO:0043601	nuclear replisome
TAX-395493	Beggiatoa alba
GO:0008520	L-ascorbate:sodium symporter activity
GO:0005856	cytoskeleton
Pfam-PF01965.20	DJ-1_PfpI
Pfam-Entry-PF16352.1	DUF4980
TAX-1121468	Desulfovirgula thermocuniculi
Pfam-PF11992.4	DUF3488
TAX-474186	Enterococcus faecalis
Pfam-PF00903.21	Glyoxalase
GO:0017108	5'-flap endonuclease activity
PWY-4502	wighteone and luteone biosynthesis
GO:0000499	base pairing with mRNA
GO:0018214	protein carboxylation
Cytidine-Nucleotides	a cytidine nucleotide
PWY-5287	sanguinarine and macarpine biosynthesis
TAX-931460	Staphylococcus aureus
TAX-1127439	Xanthomonas axonopodis
GO:0019888	protein phosphatase regulator activity
Pfam-PF06305.7	DUF1049
Pfam-Entry-PF06924.7	DUF1281
Pfam-Entry-PF16921.1	Tex_YqgF
Pfam-Entry-PF02897.11	Peptidase_S9_N
GO:0003959	NADPH dehydrogenase activity
Ellagitannins	an ellagitannin
Pfam-Entry-PF11325.4	DUF3127
TAX-857110	Streptococcus mutans
TAX-454162	Kiloniella laminariae
TAX-98794	Buchnera aphidicola
Pfam-Entry-PF06321.7	P_gingi_FimA
TAX-57732	Enterococcus asini
Pfam-Entry-PF10888.4	DUF2742
Pfam-PF00476.16	DNA_pol_A
theta-Carrageenan	&theta;-carrageenose
Pfam-Entry-PF03423.9	CBM_25
Oxidized-cytochromes-c553	an oxidized cytochrome <i>c</i>-553
Pfam-Entry-PF16804.1	DUF5071
GO:0008957	phenylacetaldehyde dehydrogenase activity
PWY-5162	2-oxopentenoate degradation
cis-cis-D17-29-C48-2-ACPs	a cis,cis-delta17,29-C48:2-[acp]
TAX-1589822	Conium clade
Pfam-Entry-PF14023.2	DUF4239
Pfam-Entry-PF01774.13	UreD
Pfam-Entry-PF04191.9	PEMT
GO:0008471	laccase activity
TAX-29501	Mycoplasma haemofelis
Pfam-Entry-PF05076.9	SUFU
GO:0015689	molybdate ion transport
Pfam-Entry-PF08267.8	Meth_synt_1
TAX-429572	Sulfolobus islandicus
TAX-3823	Canavalia ensiformis
Pfam-Entry-PF09916.5	DUF2145
Phosphomannans	a phosphomannan
TAX-33072	Gloeobacter violaceus
Pfam-Entry-PF09957.5	VapB_antitoxin
Pfam-PF03405.10	FA_desaturase_2
TAX-1071768	Chlamydia trachomatis
TAX-2249	Halococcus
GO:0005852	eukaryotic translation initiation factor 3 complex
GO:1903228	xanthosine catabolic process
GO:0019797	procollagen-proline 3-dioxygenase activity
TAX-197183	Alkanindiges illinoisensis
Leucine-amide-Modifications	Leucine amide
Pfam-Entry-PF06923.7	GutM
Pfam-Entry-PF07624.7	PSD2
TAX-146537	Streptomyces azureus
Pfam-PF14153.2	Spore_coat_CotO
TAX-13366	Brettanomyces
TAX-163739	Sophoreae
GO:0006891	intra-Golgi vesicle-mediated transport
GO:0033982	3-dehydro-L-gulonate-6-phosphate decarboxylase activity
TAX-1207542	Bifidobacterium bifidum
TAX-29291	Methanococcoides burtonii
Pfam-Entry-PF09533.6	DUF2380
Pfam-PF12094.4	DUF3570
CCO-MICROSOME	microsome
TAX-1163408	Rhodanobacter fulvus
Pfam-PF03543.10	Peptidase_C58
Pfam-PF13177.2	DNA_pol3_delta2
TAX-1231389	Streptococcus agalactiae
PWY3O-661	butanediol biosynthesis
Pfam-Entry-PF08056.7	Trp_leader2
Pfam-PF14685.2	Tricorn_PDZ
Phosphorylase-b	a phosphorylase b
TAX-91623	Clostridium akagii
Pfam-Entry-PF02467.12	Whib
PWY0-1544	proline to cytochrome <i>bo</i> oxidase electron transfer
Pfam-PF06303.8	MatP
Pfam-PF03239.10	FTR1
Pfam-Entry-PF04994.9	TfoX_C
Pfam-Entry-PF04349.8	MdoG
Pfam-PF02031.12	Peptidase_M7
Pfam-PF04854.10	DUF624
Pfam-Entry-PF02687.17	FtsX
cis-delta5-3-hydroxylignoceroyl-ACPs	a cis-delta5-3-hydroxyC24:1-[acp]
Pfam-PF00862.15	Sucrose_synth
Pfam-PF12164.4	SporV_AA
Pfam-Entry-PF06433.7	Me-amine-dh_H
Sesquisabinene	sesquisabinene
cis-delta9-3-hydroxymontanoyl-ACPs	a cis-delta9-3-hydroxyC28:1-[acp]
TAX-33990	Rickettsia bellii
TAX-767462	Lactobacillus helveticus
Pfam-PF04446.8	Thg1
TAX-1096997	Acinetobacter baumannii
GO:0016824	hydrolase activity, acting on acid halide bonds
Pfam-PF01746.17	tRNA_m1G_MT
Pfam-Entry-PF02540.13	NAD_synthase
TAX-311207	Gaetbulibacter
TAX-1163722	Bacillus cereus
PWY-4541	lipid-dependent phytate biosynthesis I (via Ins(1,4,5)P<sub>3</sub>)
TAX-392733	Terriglobus
GO:0030500	regulation of bone mineralization
TAX-71526	Cucujoidea
GO:0030372	high molecular weight B cell growth factor receptor binding
TAX-31969	Mollicutes
TAX-70987	Apinae
Pfam-PF16733.1	NRho
GO:0004788	thiamine diphosphokinase activity
Ascorbate-Biosynthesis	Ascorbate Biosynthesis
TAX-1118054	Brevibacillus massiliensis
EV-EXP-IDA-UNPURIFIED-PROTEIN-NH	Assay of unpurified protein expressed in its native host
Pfam-PF13800.2	Sigma_reg_N
Naringenin	naringenin
Pfam-Entry-PF09211.6	DUF1958
GO:0050877	neurological system process
TAX-77635	Bifidobacterium subtile
a-proteasome-endopeptidase-complex	a proteasome endopeptidase complex
Pfam-Entry-PF00393.15	6PGD
TAX-206662	Streptomyces sp. FR-008
TAX-444612	Rickettsia endosymbiont of Ixodes scapularis
TAX-644107	Silicibacter lacuscaerulensis
GO:0033968	glutaryl-7-aminocephalosporanic-acid acylase activity
Pfam-Entry-PF14882.2	PHINT_rpt
TAX-1123268	Sphingomonas jaspsi
GO:0048882	lateral line development
TAX-54731	Nepeta racemosa
TAX-33992	Rickettsia rhipicephali
Pfam-PF12835.3	Integrase_1
GO:0003990	acetylcholinesterase activity
TAX-1159076	Helicobacter pylori
GO:0007135	meiosis II
TAX-1123255	Simplicispira psychrophila
CPD-576	an <i>N</i>-acyl-L-aspartate
PWY-6372	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis IV (<i>Dictyostelium</i>)
TAX-85016	Cellulomonadaceae
Pfam-PF07992.10	Pyr_redox_2
Pfam-Entry-PF14005.2	YpjP
23S-rRNA-uracils	a uracil in 23S rRNA
Polysulfides	a polysulfide
2ASDEG-PWY	orthanilate degradation
TAX-63737	Nostoc punctiforme
TAX-502567	Streptococcus porci
Pfam-PF14517.2	Tachylectin
GO:1901880	negative regulation of protein depolymerization
ORG-5908	Herbaspirillum huttiense
GO:0004647	phosphoserine phosphatase activity
ORG-6101	Arthrobacter sp.
TAX-502559	Sphingomonas sp. SYK6
CCO-GLYCO-MEM	glycosomal membrane
PWY-5980	xylogalacturonan biosynthesis
TAX-446680	Eudoraea
GO:0044446	intracellular organelle part
Protein-L-Asparagine	a [protein]-L-asparagine
Pfam-PF16142.1	DUF4850
Pfam-PF12241.4	Enoyl_reductase
CPD-18717	3-sulfolactaldehyde
GO:0050865	regulation of cell activation
Pfam-PF08708.7	PriCT_1
Pfam-Entry-PF12687.3	DUF3801
GO:0051649	establishment of localization in cell
S-CD-S-SP-Complex	an <i>S</i>-sulfanyl-[cysteine desulfurase]-<i>S</i>-sulfanyl-[disordered-form scaffold protein] complex
TAX-111955	Sulfolobus tokodaii
TAX-395568	Paraglaciecola agarilytica
Pfam-Entry-PF08139.8	LPAM_1
GO:0048641	regulation of skeletal muscle tissue development
GO:2001020	regulation of response to DNA damage stimulus
TAX-70356	Ralstonia sp. U2
Pfam-Entry-PF02449.11	Glyco_hydro_42
TAX-658187	Legionella drancourtii
Pfam-Entry-PF06062.7	UPF0231
TAX-1508404	Jeotgalibacillus sp. D5
PWY-6405	Rapoport-Luebering glycolytic shunt
TAX-216690	Thunbergioideae
Pfam-Entry-PF08212.8	Lipocalin_2
TAX-1122131	Kaistia adipata
GO:0044767	single-organism developmental process
TAX-8504	Lepidosauria
Pfam-PF06253.7	MTTB
Pfam-Entry-PF14270.2	DUF4358
GO:0017001	antibiotic catabolic process
TAX-1071778	Chlamydia trachomatis
TAX-1082	Phaeospirillum fulvum
GO:0032390	MutLbeta complex
TAX-63267	Tolyposporium
Pfam-PF05151.8	PsbM
Pfam-Entry-PF11140.4	DUF2913
Pfam-Entry-PF00859.14	CTF_NFI
Pfam-Entry-PF14152.2	YfhE
TAX-889221	Campylobacter jejuni
Pfam-PF01022.16	HTH_5
TAX-1318615	Streptococcus agalactiae
Pfam-PF08179.8	SspP
Pfam-PF00316.16	FBPase
CYANOGENIC-GLUCOSIDE-DEG	Cyanogenic Glucosides Degradation
TAX-255474	Parvularculaceae
Aminomalonyl-PCP	an aminomalonyl-[seryl-carrier protein]
Pfam-Entry-PF13613.2	HTH_Tnp_4
TAX-758826	Acidovorax radicis
TAX-762984	Bacteroides clarus
TAX-1444306	Sporolactobacillus terrae
TAX-45353	Candida methylica
Pfam-Entry-PF05396.7	Phage_T7_Capsid
TAX-332162	Candidatus Solibacter
GO:0047395	glycerophosphoinositol glycerophosphodiesterase activity
TAX-86179	Chromohalobacter beijerinckii
Pfam-Entry-PF09077.7	Phage-MuB_C
Pfam-PF15931.1	DUF4747
GO:0046036	CTP metabolic process
Pfam-Entry-PF08874.6	DUF1835
Pfam-Entry-PF13742.2	tRNA_anti_2
Pfam-PF02413.13	Caudo_TAP
TAX-414	Methylococcus capsulatus
Pfam-Entry-PF11373.4	DUF3175
TAX-575589	Acinetobacter radioresistens
Pfam-Entry-PF10092.5	DUF2330
GALACTOSAMINE	D-galactosamine
Pfam-PF17099.1	TrpP
TAX-286638	Massilia alkalitolerans
Pfam-Entry-PF06785.7	UPF0242
TAX-1133568	Brachyspira pilosicoli
TAX-453230	Desulfarculus baarsii
Citrulline-Biosynthesis	L-citrulline Biosynthesis
TAX-85845	Chrysosporium lucknowense
TAX-342616	Streptococcus agalactiae
Pfam-PF01326.15	PPDK_N
TAX-5462	Colletotrichum lagenaria
TAX-728	Avibacterium paragallinarum
GO:0019120	hydrolase activity, acting on acid halide bonds, in C-halide compounds
TAX-33039	[Ruminococcus] torques
Pfam-PF04454.8	Linocin_M18
TAX-1408465	Mycoplasma lipofaciens
Menaquinols	a menaquinol
TAX-1186051	Blattabacterium sp. (Blaberus giganteus)
GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
Pfam-Entry-PF04976.8	DmsC
GO:0015078	hydrogen ion transmembrane transporter activity
TAX-914145	Streptococcus pneumoniae
PC-6	MFS-Transporters
Pfam-PF06724.7	DUF1206
PWY-5335	superpathway of sulfide oxidation (<i>Starkeya novella</i>)
PWY-6497	D-galactarate degradation II
Pfam-PF14827.2	Cache_3
TAX-1121829	Fodinicurvata
Pfam-PF12065.4	DUF3545
Pfam-PF03538.10	VRP1
Furanocoumarins	a furanocoumarin
TAX-376725	Escherichia coli
TAX-1086	Rhodothalassium salexigens
TAX-486622	Bacillus anthracis
Pfam-PF05233.9	PHB_acc
TAX-76860	Streptococcus constellatus
TAX-1239934	Borrelia afzelii
TAX-88404	Methanocorpusculaceae
Pfam-Entry-PF16259.1	DUF4913
Cysteine-methyl-disulfide-Modifications	Cysteine methyl disulfide
GO:0017165	dipeptidase E activity
Pfam-Entry-PF05689.7	DUF823
Pfam-Entry-PF01729.15	QRPTase_C
GO:0016984	ribulose-bisphosphate carboxylase activity
TAX-188787	Deinococci
a-poly-gamma-glutamylcysteine-beta-alani	a poly &gamma;-glutamylcysteine-&beta;-alanine
TAX-4930	Saccharomyces
PWY-7555	&alpha;-cyclopiazonate biosynthesis
Pfam-Entry-PF12607.4	DUF3772
TAX-187304	Labrenzia aggregata
2R-hydroxy-carboxylates	a (2<i>R</i>)-hydroxy-carboxylate
GO:0030388	fructose 1,6-bisphosphate metabolic process
TAX-1094	Chlorobium phaeovibrioides
Factor-IXa	a factor IXa
Pfam-Entry-PF02532.10	PsbI
GO:0006826	iron ion transport
PWY-7118	chitin degradation to ethanol
GO:0033990	ectoine synthase activity
Pfam-PF05216.9	UNC-50
TAX-469610	Burkholderiales bacterium 1_1_47
TAX-88036	Selaginella moellendorffii
GLYSYN-ALA-PWY	glycine biosynthesis III
TAX-887301	Campylobacter coli
CCO-PROT-PLAST	proteinoplast
Pfam-Entry-PF06574.8	FAD_syn
OMEGA-HYDROXY-FATTY-ACID	an &omega;-hydroxy fatty acid
Pfam-PF08486.6	SpoIID
Pfam-Entry-PF09563.6	RE_LlaJI
GO:0015388	potassium uptake transmembrane transporter activity
TAX-103944	Protobothrops mucrosquamatus
Pfam-Entry-PF06689.9	zf-C4_ClpX
Pfam-Entry-PF11948.4	DUF3465
GO:0030392	fructosamine catabolic process
Pfam-PF13794.2	MiaE_2
GO:0050310	sulfite dehydrogenase activity
TAX-410	Methylobacterium organophilum
1-6-alpha-D-glucan	a 1-6-&alpha;-D-glucan
Pfam-PF06508.9	QueC
Apo-beta-Phycoerythrocyanins	an <i>apo</i>-[phycoerythrocyanin &beta;-subunit]
TAX-357278	Lactobacillus parabrevis
PC-19	P-type-ATPase-Transporters
LCTACACAT-PWY	lactate oxidation
TAX-869303	Streptococcus pneumoniae
TAX-321314	Salmonella enterica
GO:0090429	detection of endogenous biotic stimulus
Pfam-Entry-PF13231.2	PMT_2
GO:0004399	histidinol dehydrogenase activity
TAX-330163	Dysphania ambrosioides
Pfam-PF11622.4	DUF3251
Pfam-Entry-PF08863.6	YolD
N-Glycoprotein-M-voltae	a [<i>M. voltae</i> glycoprotein]-L-asparagine-[trisaccharide]
PWY0-1492	UhpBA Two Component Signal Transduction System
Pfam-Entry-PF12451.4	VPS11_C
2-AMINO-4-HYDROXYPTERIDINE	a 2-amino-4-hydroxypteridine
TAX-1122615	Oceanobacter kriegii
TAX-758	[Pasteurella] pneumotropica
GO:0042497	triacyl lipopeptide binding
TAX-1293057	Ucinae
Pfam-Entry-PF11308.4	GHL1-3
GO:0015774	polysaccharide transport
TAX-216318	Aplysioidea
GO:0031330	negative regulation of cellular catabolic process
GO:0005159	insulin-like growth factor receptor binding
TAX-57705	Halomicrobium mukohataei
Pfam-Entry-PF01629.12	DUF22
Pfam-Entry-PF02038.12	ATP1G1_PLM_MAT8
Pfam-PF08029.7	HisG_C
TAX-41946	Saxifragales
TAX-1437197	Petrosaviidae
Pfam-Entry-PF16931.1	Phage_holin_8
TAX-50278	Cinchona pubescens
GO:0016223	beta-alanine-pyruvate transaminase activity
2-OH-3-Methyl-Saturated-Fatty-Acyl-CoA	a 2-hydroxy-3-methyl-branched 2,3,4-saturated fatty acyl-CoA
TAX-55885	Peloderinae
TAX-18101	Gerbera hybrid cultivar
TAX-337	Burkholderia glumae
Pfam-Entry-PF00283.15	Cytochrom_B559
PWY-101	photosynthesis light reactions
GO:0015280	ligand-gated sodium channel activity
TAX-1182780	Magnetospira
Pfam-Entry-PF02273.11	Acyl_transf_2
Pyruvate-dehydrogenase-lipoate	a [pyruvate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine
Pfam-Entry-PF13005.3	zf-IS66
TAX-85819	Phthiraptera
TAX-213116	Desulfomicrobiaceae
GlcCer-40-1-3s	a glucosylceramide(40:1)-3
Guanosine-Deoxy-Denovo-Biosynthesis	Guanosine Deoxyribonucleotides <i>De Novo</i> Biosynthesis
GO:0034284	response to monosaccharide
TAX-39441	Methanobrevibacter arboriphilus
TAX-441155	Burkholderia pseudomallei
GO:0046474	glycerophospholipid biosynthetic process
Pfam-PF03283.9	PAE
TAX-257758	Streptococcus pseudopneumoniae
GO:0007603	phototransduction, visible light
TAX-596315	Peptostreptococcus stomatis
Pfam-PF06804.7	Lipoprotein_18
TAX-717522	Mycobacterium bovis
TAX-869678	Escherichia coli
TAX-89373	Cytophagaceae
Pfam-Entry-PF03756.9	AfsA
TAX-272620	Klebsiella pneumoniae
TAX-694431	Desulfurella acetivorans
TAX-1217908	Octadecabacter antarcticus
TAX-214	Helicobacter felis
TAX-3327	Larix occidentalis
Pfam-PF03447.12	NAD_binding_3
TAX-2970	Pyrocystales
Pfam-PF14704.2	DERM
TAX-147547	Lecanoromycetes
TAX-882095	Listeria monocytogenes
GO:0015153	rhamnose transmembrane transporter activity
Pfam-PF03779.10	SPW
Pfam-Entry-PF01401.14	Peptidase_M2
ACYL1-6GALBETA1-3ACYL2GRO	an acylmono-&beta;-D-galactosyldiacylglycerol
TAX-225324	Enhydrobacter aerosaccus
GO:0005598	short-chain collagen
Pfam-PF01434.14	Peptidase_M41
TAX-991930	Vibrio cholerae
PWY-7220	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II
TAX-1410676	Succinivibrio dextrinosolvens
GO:0004693	cyclin-dependent protein serine/threonine kinase activity
PWY-5409	divinyl ether biosynthesis II
Pfam-PF05816.7	TelA
TAX-416276	Rickettsia massiliae
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA
TAX-147206	Collinsella stercoris
TAX-78120	Succinispira mobilis
Adipoyl-ACP-methyl-esters	an adipoyl-[acp] methyl ester
TAX-5502	Curvularia
TAX-157692	Leptotrichia goodfellowii
GO:0051219	phosphoprotein binding
TAX-326423	Bacillus methylotrophicus
TAX-135618	Methylococcales
Pfam-Entry-PF09951.5	DUF2185
TAX-318167	Shewanella frigidimarina
GO:0045230	capsule organization
Pfam-PF13627.2	LPAM_2
TAX-1494	Clostridium cochlearium
Pfam-Entry-PF16374.1	CIF
CCO-PEROX-LUM	peroxisomal lumen
TAX-875170	Celeribacter
Pfam-PF00687.17	Ribosomal_L1
TAX-765057	Propionibacterium acnes
GO:0045103	intermediate filament-based process
TAX-324602	Chloroflexus aurantiacus
C-Methylated-Amino-Acids	a <i>C</i>-methylated amino acid
CPD-16567	L-rhamnulofuranose
Pfam-Entry-PF16365.1	EutK_C
TAX-655183	Lactobacillus casei group
GO:0042930	enterobactin transport
Pfam-PF06052.8	3-HAO
Protein-L-serine-or-L-threonine	a [protein]-(L-serine/L-threonine)
TAX-1392869	Escherichia coli
Pfam-Entry-PF12065.4	DUF3545
Pfam-PF02873.12	MurB_C
TAX-1542	Clostridium novyi
VALSYN-PWY	valine biosynthesis
TAX-1863	Dermatophilus congolensis
GO:0047184	1-acylglycerophosphocholine O-acyltransferase activity
Pfam-PF16289.1	DUF4935
TAX-6334	Trichinella spiralis
TAX-482461	Sediminibacillus halophilus
PWY-7331	UDP-<i>N</i>-acetyl-&beta;-L-quinovosamine biosynthesis
GO:0031458	betaine-transporting ATPase activity
Cyclic-polypyrroles	cyclic polypyrrole
TAX-1123008	Proteiniphilum acetatigenes
Pfam-PF12388.4	Peptidase_M57
Acyclonucleoside-Analogues	an acyclonucleoside analogue
TAX-43080	Sulfolobus islandicus
TAX-658082	Lachnospiraceae bacterium 2_1_58FAA
TAX-730	[Haemophilus] ducreyi
Pfam-Entry-PF01055.22	Glyco_hydro_31
GO:0017089	glycolipid transporter activity
GO:0008121	ubiquinol-cytochrome-c reductase activity
PWY-7150	polymethylated quercetin glucoside biosynthesis I - quercetin series (Chrysosplenium)
GO:0001874	(1->3)-beta-D-glucan receptor activity
TAX-85020	Dermabacteraceae
GO:0042806	fucose binding
UDP-NAcMur-Tetrapeptides	a UDP-<i>N</i>-acetylmuramoyl-tetrapeptide
GO:0008021	synaptic vesicle
GO:0004527	exonuclease activity
TAX-98228	Bacillus sp. OxB-1
TAX-1032488	Neisseria shayeganii
TAX-5739	Hexamitidae
GO:0002098	tRNA wobble uridine modification
blood-group-substances	blood group substances
TAX-280978	mitosporic Elsinoaceae
GO:0004903	growth hormone receptor activity
ORN-AMINOPENTANOATE-CAT-PWY	ornithine degradation I (proline biosynthesis)
GO:0046589	ribonuclease T1 activity
Pfam-PF11212.4	DUF2999
Pfam-PF07411.8	DUF1508
PWY-6413	ginsenoside degradation III
TAX-4924	Scheffersomyces stipitis
TAX-83559	Chlamydia suis
Pfam-Entry-PF06722.8	DUF1205
TAX-1221257	Acinetobacter baumannii
TAX-150382	Stilbella
Pfam-PF04519.9	Bactofilin
Pfam-Entry-PF09569.6	RE_ScaI
GO:0008466	glycogenin glucosyltransferase activity
Pfam-PF00595.20	PDZ
Hyaluronan	hyaluronan
Pfam-PF09929.5	DUF2161
Pfam-PF04985.10	Phage_tube
TAX-6251	Ascaris
TAX-64002	Nevskia ramosa
Acetoacetyl-ACP	an acetoacetyl-[acp]
GO:0061326	renal tubule development
TAX-224326	Borrelia burgdorferi
TAX-1064539	Azospirillum brasilense
Pfam-Entry-PF09912.5	DUF2141
TAX-596323	Leptotrichia goodfellowii
PWY-2201	folate transformations I
